datetime,open,high,low,close,volume
2023-03-21 12:00:00,132.176,132.447,132.006,132.224,61877
2023-03-21 16:00:00,132.225,132.464,131.783,132.408,68087
2023-03-21 20:00:00,132.406,132.62,132.363,132.476,38163
2023-03-22 00:00:00,132.477,132.695,132.25,132.52,36407
2023-03-22 04:00:00,132.521,132.77,132.247,132.471,42923
2023-03-22 08:00:00,132.472,132.635,132.286,132.485,50525
2023-03-22 12:00:00,132.483,132.993,132.335,132.778,52720
2023-03-22 16:00:00,132.778,132.834,132.414,132.575,49405
2023-03-22 20:00:00,132.577,132.663,130.997,131.408,77808
2023-03-23 00:00:00,131.421,131.485,130.83,130.894,37691
2023-03-23 04:00:00,130.893,130.968,130.411,130.721,51219
2023-03-23 08:00:00,130.724,131.241,130.544,131.188,66348
2023-03-23 12:00:00,131.188,131.655,131.068,131.473,62638
2023-03-23 16:00:00,131.473,131.477,130.648,130.757,65572
2023-03-23 20:00:00,130.757,131.03,130.314,130.782,61731
2023-03-24 00:00:00,130.782,130.932,130.513,130.513,26679
2023-03-24 04:00:00,130.515,130.676,130.065,130.093,50415
2023-03-24 08:00:00,130.092,130.471,129.916,130.071,60877
2023-03-24 12:00:00,130.072,130.245,129.633,130.155,82552
2023-03-24 16:00:00,130.156,130.889,130.04,130.761,80741
2023-03-24 20:00:00,130.762,130.854,130.639,130.704,35075
2023-03-27 00:00:00,130.456,130.959,130.404,130.773,30016
2023-03-27 04:00:00,130.775,131.045,130.491,130.701,37507
2023-03-27 08:00:00,130.699,131.358,130.694,131.068,58508
2023-03-27 12:00:00,131.067,131.74,131.053,131.697,52446
2023-03-27 16:00:00,131.698,131.718,131.319,131.593,47461
2023-03-27 20:00:00,131.593,131.753,131.507,131.542,26931
2023-03-28 00:00:00,131.531,131.557,130.624,130.784,31655
2023-03-28 04:00:00,130.783,130.882,130.523,130.61,41163
2023-03-28 08:00:00,130.61,131.289,130.498,131.042,55760
2023-03-28 12:00:00,131.043,131.177,130.398,130.649,47409
2023-03-28 16:00:00,130.648,131.178,130.648,130.953,46338
2023-03-28 20:00:00,130.952,130.954,130.561,130.845,23816
2023-03-29 00:00:00,130.845,131.35,130.752,131.3,27007
2023-03-29 04:00:00,131.3,131.789,131.274,131.701,36069
2023-03-29 08:00:00,131.701,132.086,131.653,131.98,48837
2023-03-29 12:00:00,131.98,132.582,131.591,132.514,49092
2023-03-29 16:00:00,132.514,132.712,132.18,132.64,51445
2023-03-29 20:00:00,132.638,132.883,132.542,132.841,26307
